Item Usinagem;Item Blank;Item Cliente;Material;Descrição do material;Qtd de MP;Centro;Portal;Torno;Qtd no WH;Centro;Portal;Torno;OP Firme;OP Planejada;Priorizar?
8.0124.07083.00;7.0124.11888.00;618-7245#00-CORTE;5.0199.00821;CH 12,00x2500x6200 CG PR STRENX 700E;20,3; 0,11 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.07084.00;7.0124.11889.00;618-7246#00-CORTE;5.0199.00821;CH 12,00x2500x6200 CG PR STRENX 700E;20,3; 0,11 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.07243.00;7.0124.12187.00;627-1354#00-CORTE;5.0102.00359;CH 22,40x2440x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);35,9; 0,23 ; -   ; -   ;0; -   ; -   ; -   ;54;24;0
8.0124.07259.00;7.0124.12315.00;667-6333#00;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);51,1; -   ; -   ; -   ;0; -   ; -   ; -   ;6;28;0
8.0326.01047.2;7.0326.00627.2;968065-2-CORTE;5.0160.00104;CH 12,50x1200x3000 LQ PR LN28;4,8; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.01174.1;7.0326.00628.1;719013-1-CORTE;5.0160.00104;CH 12,50x1200x3000 LQ PR LN28;5,4; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.01496.01;7.0326.00629.01;239145#01-CORTE;5.0160.00104;CH 12,50x1200x3000 LQ PR LN28;15,9; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.01497.1A;7.0326.00617.1A;239160#1A-CORTE;5.0160.00104;CH 12,50x1200x3000 LQ PR LN28;14,3; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.01505.04;7.0326.00618.04;980433-05#04-CORTE;5.0160.00114;CH 09,50x1200x3050 LQ PR LNE38;69,9; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.01524.1.3;7.0326.00630.1.3;243519#1.3-CORTE;5.0165.00039;CH 03,00x1200x3000 LQ DO LNE38;4,8; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.01798.1.3;7.0326.00631.1.3;980821#1.3-CORTE;5.0165.00148;CH 06,30x1200x3000 LQ PR LNE38;32,4; -   ; -   ; -   ;0; -   ; -   ; -   ;1;0;0
8.0326.01826.00;7.0326.00632.00;055201#00-CORTE;5.0160.00104;CH 12,50x1200x3000 LQ PR LN28;8,1; 0,05 ; -   ; -   ;0; -   ; -   ; -   ;26;0;0
8.0326.01827.00;7.0326.00633.00;054162#00-CORTE;5.0160.00104;CH 12,50x1200x3000 LQ PR LN28;8,4; 0,12 ; -   ; -   ;0; -   ; -   ; -   ;2;0;0
8.0326.01883.1A;7.0326.00634.1A;095513-1A-CORTE;5.0160.00104;CH 12,50x1200x3000 LQ PR LN28;34,7; 1,40 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.01883.1A;8.0326.01883.1A;095513-1A;6.0102.00015.01;ADESIVO Ø 160 mm BRANCO C/ FURAÇÃO GUIA;2,0; 1,40 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.01978.1A;7.0326.00635.1A;865634-1A-CORTE;5.0160.00104;CH 12,50x1200x3000 LQ PR LN28;5,6; 0,12 ; -   ; -   ;0; -   ; -   ; -   ;1;0;0
8.0326.01986.2;7.0326.00619.2;980417-2F#2-CORTE;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);5,7; -   ; -   ; 0,10 ;0; -   ; -   ; -   ;30;0;0
8.0326.01997.02;7.0326.00636.02;980565-02-CORTE;5.0160.00104;CH 12,50x1200x3000 LQ PR LN28;2,5; 0,04 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.02108.01;7.0326.00637.01;1191405#01-CORTE;5.0165.00148;CH 06,30x1200x3000 LQ PR LNE38;2,6; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.02126.A;7.0326.00620.A;642843-4A#A-CORTE;5.0165.00148;CH 06,30x1200x3000 LQ PR LNE38;7,3; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.02159.00;7.0326.00639.00;544239-1#00-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);1,2; 0,08 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.02160.00;7.0326.00621.00;903963#00-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);6,2; 0,12 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.02162.2.3;7.0326.00640.2.3;483057-1#2.3-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);2,2; 0,07 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0326.02166.2.3;7.0326.00622.2.3;485557-1#2.3-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);2,2; 0,20 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02249.02;7.0399.00055.02;0501216435#02-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;55,4; 0,28 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02250.02;7.0399.00056.02;0501216440#02-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;55,4; 0,28 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02252.01;7.0399.00057.01;0501216397#01-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;60,7; 0,40 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02253.01;7.0399.00058.01;0501216407#01-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;60,7; 0,40 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02254.00;7.0399.00059.00;0501219131#00-CORTE;5.0101.00371;CH 25,40x2100x6000 CG PR A572 GR50;69,9; 0,37 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02255.00;7.0399.00066.00;0501219146#00-CORTE;5.0101.00371;CH 25,40x2100x6000 CG PR A572 GR50;69,9; 0,19 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02257.02;7.0399.00060.02;0501212745#02-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;55,2; 0,67 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02259.02;7.0399.00061.02;0501216929#02-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;55,2; 0,27 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02264.01;7.0399.00062.01;0501216969#01-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;97,2; 0,58 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02265.01;7.0399.00067.01;0501216975#01-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;94,9; 0,58 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02268.00;7.0399.00068.00;0571019990#00-CORTE;5.0101.00371;CH 25,40x2100x6000 CG PR A572 GR50;48,3; 0,29 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02273.02;7.0399.00069.02;0501216426#02-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;30,0; 0,30 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02295.00;7.0399.00070.00;0561010505#00-CORTE;5.0101.00561;CH 19,00x1500x3000 LQ PR A1018 SS50/A572 GR50;55,5; -   ; 0,23 ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02300.01;7.0399.00063.01;0501216832#01-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;72,6; 0,48 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02301.01;7.0399.00071.01;0501216847#01-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;72,6; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02306.01;7.0399.00072.01;0501216499#01-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;54,4; 0,24 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02307.01;7.0399.00073.01;0501216536#01-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;54,4; 0,25 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02313.01;7.0399.00074.01;0561016440#01-CORTE;5.0101.00561;CH 19,00x1500x3000 LQ PR A1018 SS50/A572 GR50;37,0; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02315.02;7.0399.00064.02;0501217378#02-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;35,7; 0,21 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0399.02316.02;7.0399.00065.02;0501217385#02-CORTE;5.0101.00357;CH 22,40x2440x6000 CG PR A572 GR50;35,7; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.01826.P02;7.2155.02539.P02;15106338F11_2#P02;5.0101.00223.JD;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;3,9; 0,23 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
