Estacao,Data Inicial,Data Final,Ordem,Produto,Qtd OK,Qtd NOK,Tempo Teorico,Tempo Teorico Total,Tempo Parada,Tempo Real,Tempo Real Total,Etapa,Fabricante,Turno,Setor
CTU05,2026-05-21T10:37:33.51,2026-05-21T15:48:36.163,SQO260521100944927,7.6602.00395.02,22,0,13,286,60,11.409090909090908,22,0,,1,USINAGEM
RB17,2026-05-21T10:51:04.38,2026-05-21T13:41:54.343,SQO260521104847053,8.0124.07011.Q01,1,0,92.92,92.92,,170,1,0,,1,ROBO DE SOLDA
RB23,2026-05-21T10:52:02.28,2026-05-21T11:40:24.38,SQO260521105200880,8.3558.00559.F,1,0,41.99,41.99,,48,1,0,,1,ROBO DE SOLDA
RB05,2026-05-21T10:57:08.283,2026-05-21T14:52:33.59,SQO260521105706812,8.8088.08265.A,20,0,5.5,110,65,8.5,20,0,,1,ROBO DE SOLDA
DB43,2026-05-21T11:00:34.86,2026-05-21T12:16:08.463,SQO260521105123358,7.0124.12052.Q02,14,0,4.74,66.36,,5.357142857142857,14,0,,1,DOBRADEIRA
MD10,2026-05-21T11:04:56.073,2026-05-21T12:57:36.647,SQO260521081812549,7.6891.00967.A,4,0,230,460,,112,4,0,DOOSAN,1,USINAGEM
CTU28,2026-05-21T11:09:59.813,2026-05-21T11:34:29.753,SQO260521081602543,8.2155.02755.P06,2,0,13.5,27,,12,2,0,,1,USINAGEM
RB30,2026-05-21T11:13:15.85,2026-05-21T12:00:15.387,SQO260521111052523,8.0124.07134.Q02,1,0,31.5,31.5,8,38,1,0,MOTOFIL,1,ROBO DE SOLDA
CTU24,2026-05-21T11:30:23.75,2026-05-21T12:18:40.22,SQO260521110824755,8.2155.02142.P01,1,0,45.93,45.93,,48,1,0,,1,USINAGEM
CTU28,2026-05-21T11:34:29.753,2026-05-21T12:32:59.577,SQO260521081602543,8.2155.02755.P06,4,0,13.5,54,,14.5,4,0,,1,USINAGEM
RB23,2026-05-21T11:40:37.207,2026-05-21T14:39:13.047,SQO260521114034824,7.3558.02102.02,3,0,21.65,64.94999999999999,84,31.333333333333332,3,0,,1,ROBO DE SOLDA
RB34,2026-05-21T11:47:54.11,2026-05-21T13:40:07.117,SQO260521114600711,8.0124.06647.Q08,1,0,38.12,38.12,65,47,1,0,,1,ROBO DE SOLDA
CTU26,2026-05-21T11:51:54.52,2026-05-21T14:14:42.32,SQO260521111244297,7.2155.02794.P03,1,0,2.67,2.67,60,82,1,0,,1,USINAGEM
CL11,2026-05-21T11:53:40.367,2026-05-21T15:20:13.197,SQO260521115338652,7.7129.00956.A,20,0,5.77,115.39999999999999,61,7.25,20,0,,1,CALANDRA
CTU02,2026-05-21T12:04:44.72,2026-05-21T16:17:21.827,SQO260521113637356,7.0124.08651.W00,2,0,,,117,67.5,2,0,,1,USINAGEM
CTU16,2026-05-21T12:06:14.743,2026-05-21T12:06:18.153,SQO260521120612630,7.0124.03264.03,1,0,3.17,3.17,,0,1,0,,1,USINAGEM
RB30,2026-05-21T12:17:41.373,2026-05-21T12:45:50.48,SQO260521121739564,8.0124.07134.Q02,1,0,31.5,31.5,0,28,1,0,MOTOFIL,1,ROBO DE SOLDA
CTU24,2026-05-21T12:18:40.22,2026-05-21T14:12:20.717,SQO260521110824755,8.2155.02142.P01,1,0,45.93,45.93,64,49,1,0,,1,USINAGEM
CTU18,2026-05-21T12:21:10.223,2026-05-21T16:14:31.603,SQO260521083108020,7.2155.02697.P02,8,0,15.14,121.12,59,21.75,8,0,,1,USINAGEM
CTU22,2026-05-21T12:25:06.053,2026-05-21T12:43:18.17,SQO260521114419134,8.7129.00276.H,2,0,4.3,8.6,,9,2,0,,1,USINAGEM
